Afghanistan     South-Central Asia        SA       EMR       Southern Asia         Low income
Albania                  Southern Europa      CEE-CIS   EUR       Developed regions           Lower middle income
Algeria                  Northern Africa      MENA      AFR       Northern Africa             Upper middle income
American Samoa           Polynesia                                                            Upper middle income
Andorra                  Southern Europa      Dev       EUR       Developed regions           High income
Angola                   Middle Africa        ESA       AFR       sub-Saharan Africa          Upper middle income
Anguilla                 Caribbean                                Caribbean
Antigua and Barbuda      Caribbean            TAC       AMR       Caribbean                   Upper middle income
Argentina                South America        TAC       AMR       Latin America               Upper middle income
Aruba                    Caribbean                                                            High income
Armenia                  Western Asia         CEE-CIS   EUR       Caucasus and Central Asia   Lower middle income
Australia                Australia            Dev       WPR       Developed regions           High income
Austria                  Western Europe       Dev       EUR       Developed regions           High income
Azerbaijan               Western Asia         CEE-CIS   EUR       Caucasus and Central Asia   Upper middle income
Bahamas                  Caribbean            TAC       AMR       Caribbean                   High income
Bahrain                  Western Asia         MENA      EMR       Western Asia                High income
Bangladesh               South-Central Asia   SA        SEAR      Southern Asia               Low income
Barbados                 Caribbean            TAC       AMR       Caribbean                   High income
Belarus                  Eastern Europe       CEE-CIS   EUR       Developed regions           Upper middle income
Belgium                  Western Europe       Dev       EUR       Developed regions           High income
Belize                   Central America      TAC       AMR       Latin America               Lower middle income
Benin                    Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Bermuda                  Northern America                         Developed regions           High income
Bhutan                   South-Central Asia   SA        SEAR      Southern Asia               Lower middle income
Bolivia           South America        TAC       AMR       Latin America               Lower middle income
Bosnia and Herzegovina   Southern Europa      CEE-CIS   EUR       Developed regions           Upper middle income
Botswana                 Southern Africa      ESA       AFR       sub-Saharan Africa          Upper middle income
Brazil                   South America        TAC       AMR       Latin America               Upper middle income
British Virgin Islands   Caribbean                                Caribbean                   High income
Brunei        South-Eastern Asia   EAP       WPR       South-Eastern Asia          High income
Bulgaria                 Eastern Europe       CEE-CIS   EUR       Developed regions           Upper middle income
Burkina Faso             Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Burundi                  Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Cambodia                 South-Eastern Asia   EAP       WPR       South-Eastern Asia          Low income
Cameroon                 Middle Africa        WCA       AFR       sub-Saharan Africa          Lower middle income
Canada                   Northern America     Dev       AMR       Developed regions           High income
Cape Verde               Western Africa       WCA       AFR       sub-Saharan Africa          Lower middle income
Cayman Islands           Caribbean                                Caribbean                   High income
Central African Republic             Middle Africa        WCA       AFR       sub-Saharan Africa          Low income
Chad                     Middle Africa        WCA       AFR       sub-Saharan Africa          Low income
Chile                    South America        TAC       AMR       Latin America               Upper middle income
China                    Eastern Asia         EAP       WPR       Eastern Asia                Upper middle income
Colombia                 South America        TAC       AMR       Latin America               Upper middle income
Comoros          Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Congo              Middle Africa        WCA       AFR       sub-Saharan Africa          Lower middle income
Cook Islands             Polynesia            EAP       WPR       Oceania
Costa Rica               Central America      TAC       AMR       Latin America               Upper middle income
Cote d'Ivoire            Western Africa       WCA       AFR       sub-Saharan Africa          Lower middle income
Croatia                  Southern Europa      CEE-CIS   EUR       Developed regions           High income
Cuba                     Caribbean            TAC       AMR       Caribbean                   Upper middle income
Cyprus                   Western Asia         MENA      EUR       Developed regions           High income
Czechia     Eastern Europe       Dev       EUR       Developed regions           High income
Democratic Republic of Congo             Middle Africa        WCA       AFR       sub-Saharan Africa          Low income
Denmark                  Northern Europe      Dev       EUR       Developed regions           High income
Djibouti                 Eastern Africa       MENA      EMR       sub-Saharan Africa          Lower middle income
Dominica                 Caribbean            TAC       AMR       Caribbean                   Upper middle income
Dominican Republic               Caribbean            TAC       AMR       Caribbean                   Upper middle income
Ecuador                  South America        TAC       AMR       Latin America               Upper middle income
Egypt                    Northern Africa      MENA      EMR       Northern Africa             Lower middle income
El Salvador              Central America      TAC       AMR       Latin America               Lower middle income
Equatorial Guinea        Middle Africa        WCA       AFR       sub-Saharan Africa          High income
Eritrea                  Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Estonia                  Northern Europe      Dev       EUR       Developed regions           High income
Ethiopia                 Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Falkland Islands
South America                            Latin America
(Malvinas)
Fiji                     Melanesia            EAP       WPR       Oceania                     Lower middle income
Finland                  Northern Europe      Dev       EUR       Developed regions           High income
France                   Western Europe       Dev       EUR       Developed regions           High income
French Guiana            South America                            Latin America
French Polynesia         Polynesia                                Oceania                     High income
Gabon                    Middle Africa        WCA       AFR       sub-Saharan Africa          Upper middle income
Gambia             Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Georgia                  Western Asia         CEE-CIS   EUR       Caucasus and Central Asia   Lower middle income
Germany                  Western Europe       Dev       EUR       Developed regions           High income
Ghana                    Western Africa       WCA       AFR       sub-Saharan Africa          Lower middle income
Gibraltar                Southern Europa
Greece                   Southern Europa      Dev       EUR       Developed regions           High income
Greenland                Northern Europe                EUR       Developed regions           High income
Grenada                  Caribbean            TAC       AMR       Caribbean                   Upper middle income
Guadeloupe               Caribbean                                Caribbean
Guam                     Micronesia                               Oceania                     High income
Guatemala                Central America      TAC       AMR       Latin America               Lower middle income
Guinea                   Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Guinea-Bissau            Western Africa       WCA       AFR       sub-Saharan Africa          Low income
Guyana                   South America        TAC       AMR       Latin America               Lower middle income
Haiti                    Caribbean            TAC       AMR       Caribbean                   Low income
Honduras                 Central America      TAC       AMR       Latin America               Lower middle income
Hungary                  Eastern Europe       Dev       EUR       Developed regions           High income
Iceland                  Northern Europe      Dev       EUR       Developed regions           High income
India                    South-Central Asia   SA        SEAR      Southern Asia               Lower middle income
Indonesia                South-Eastern Asia   EAP       SEAR      South-Eastern Asia          Lower middle income
Iran    South-Central Asia   MENA      EMR       Southern Asia               Upper middle income
Iraq                     Western Asia         MENA      EMR       Western Asia                Lower middle income
Ireland                  Northern Europe      Dev       EUR       Developed regions           High income
Israel                   Western Asia         Dev       EUR       Developed regions           High income
Italy                    Southern Europa      Dev       EUR       Developed regions           High income
Jamaica                   Caribbean            TAC       AMR       Caribbean                   Upper middle income
Japan                     Eastern Asia         Dev       WPR       Developed regions           High income
Jordan                    Western Asia         MENA      EMR       Western Asia                Upper middle income
Kazakhstan                South-Central Asia   CEE-CIS   EUR       Caucasus and Central Asia   Upper middle income
Kenya                     Eastern Africa       ESA       AFR       sub-Saharan Africa          Low income
Kiribati                  Micronesia           EAP       WPR       Oceania                     Lower middle income
Kuwait                    Western Asia         MENA      EMR       Western Asia                High income
Kyrgyzstan                South-Central Asia   CEE-CIS   EUR       Caucasus and Central Asia   Low income
Lao People's Democratic
South-Eastern Asia   EAP       WPR       South-Eastern Asia          Lower middle income
Rep. (The)
Latvia                    Northern Europe      Dev       EUR       Developed regions           Upper middle income
Lebanon                   Western Asia         MENA      EMR       Western Asia                Upper middle income
