Date,Continent,Country,Count
2020-01-01,Asia,Afghanistan,0.0
2020-01-02,Asia,Afghanistan,0.0
2020-01-03,Asia,Afghanistan,0.0
2020-01-04,Asia,Afghanistan,0.0
2020-01-05,Asia,Afghanistan,0.0
2020-01-06,Asia,Afghanistan,0.0
2020-01-07,Asia,Afghanistan,0.0
2020-01-08,Asia,Afghanistan,0.0
2020-01-09,Asia,Afghanistan,0.0
2020-01-10,Asia,Afghanistan,0.0
2020-01-11,Asia,Afghanistan,0.0
2020-01-12,Asia,Afghanistan,0.0
2020-01-13,Asia,Afghanistan,0.0
2020-01-14,Asia,Afghanistan,0.0
2020-01-15,Asia,Afghanistan,0.0
2020-01-16,Asia,Afghanistan,0.0
2020-01-17,Asia,Afghanistan,0.0
2020-01-18,Asia,Afghanistan,0.0
2020-01-19,Asia,Afghanistan,0.0
2020-01-20,Asia,Afghanistan,0.0
2020-01-21,Asia,Afghanistan,0.0
2020-01-22,Asia,Afghanistan,0.0
2020-01-23,Asia,Afghanistan,0.0
2020-01-24,Asia,Afghanistan,0.0
2020-01-25,Asia,Afghanistan,0.0
2020-01-26,Asia,Afghanistan,0.0
2020-01-27,Asia,Afghanistan,0.0
2020-01-28,Asia,Afghanistan,0.0
2020-01-29,Asia,Afghanistan,0.0
2020-01-30,Asia,Afghanistan,0.0
2020-01-31,Asia,Afghanistan,0.0
2020-02-01,Asia,Afghanistan,0.0
2020-02-02,Asia,Afghanistan,0.0
2020-02-03,Asia,Afghanistan,0.0
2020-02-04,Asia,Afghanistan,0.0
2020-02-05,Asia,Afghanistan,0.0
2020-02-06,Asia,Afghanistan,0.0
2020-02-07,Asia,Afghanistan,0.0
2020-02-08,Asia,Afghanistan,0.0
2020-02-09,Asia,Afghanistan,0.0
2020-02-10,Asia,Afghanistan,0.0
2020-02-11,Asia,Afghanistan,0.0
2020-02-12,Asia,Afghanistan,0.0
2020-02-13,Asia,Afghanistan,0.0
2020-02-14,Asia,Afghanistan,0.0
2020-02-15,Asia,Afghanistan,0.0
2020-02-16,Asia,Afghanistan,0.0
2020-02-17,Asia,Afghanistan,0.0
2020-02-18,Asia,Afghanistan,0.0
2020-02-19,Asia,Afghanistan,0.0
2020-02-20,Asia,Afghanistan,0.0
2020-02-21,Asia,Afghanistan,0.0
2020-02-22,Asia,Afghanistan,0.0
2020-02-23,Asia,Afghanistan,0.0
2020-02-24,Asia,Afghanistan,1.0
2020-02-25,Asia,Afghanistan,0.0
2020-02-26,Asia,Afghanistan,0.0
2020-02-27,Asia,Afghanistan,0.0
2020-02-28,Asia,Afghanistan,0.0
2020-02-29,Asia,Afghanistan,0.0
2020-03-01,Asia,Afghanistan,0.0
2020-03-02,Asia,Afghanistan,0.0
2020-03-03,Asia,Afghanistan,1.0
2020-03-04,Asia,Afghanistan,2.0
2020-03-05,Asia,Afghanistan,0.0
2020-03-06,Asia,Afghanistan,0.0
2020-03-07,Asia,Afghanistan,0.0
2020-03-08,Asia,Afghanistan,1.0
2020-03-09,Asia,Afghanistan,2.0
2020-03-10,Asia,Afghanistan,1.0
2020-03-11,Asia,Afghanistan,3.0
2020-03-12,Asia,Afghanistan,1.0
2020-03-13,Asia,Afghanistan,1.0
2020-03-14,Asia,Afghanistan,2.0
2020-03-15,Asia,Afghanistan,1.0
2020-03-16,Asia,Afghanistan,2.0
2020-03-17,Asia,Afghanistan,2.0
2020-03-18,Asia,Afghanistan,4.0
2020-03-19,Asia,Afghanistan,1.0
2020-03-20,Asia,Afghanistan,4.0
2020-03-21,Asia,Afghanistan,1.0
2020-03-22,Asia,Afghanistan,4.0
2020-03-23,Asia,Afghanistan,7.0
2020-03-24,Asia,Afghanistan,2.0
2020-03-25,Asia,Afghanistan,33.0
2020-03-26,Asia,Afghanistan,4.0
2020-03-27,Asia,Afghanistan,11.0
2020-03-28,Asia,Afghanistan,16.0
2020-03-29,Asia,Afghanistan,11.0
2020-03-30,Asia,Afghanistan,28.0
2020-03-31,Asia,Afghanistan,29.0
2020-04-01,Asia,Afghanistan,22.0
2020-04-02,Asia,Afghanistan,43.0
