Date,Department,Category,Store,State,Count
2015-04-01,FOODS_1,FOODS,CA_1,CA,178
2015-04-02,FOODS_1,FOODS,CA_1,CA,211
2015-04-03,FOODS_1,FOODS,CA_1,CA,225
2015-04-04,FOODS_1,FOODS,CA_1,CA,189
2015-04-05,FOODS_1,FOODS,CA_1,CA,276
2015-04-06,FOODS_1,FOODS,CA_1,CA,338
2015-04-07,FOODS_1,FOODS,CA_1,CA,229
2015-04-08,FOODS_1,FOODS,CA_1,CA,219
2015-04-09,FOODS_1,FOODS,CA_1,CA,190
2015-04-10,FOODS_1,FOODS,CA_1,CA,203
2015-04-11,FOODS_1,FOODS,CA_1,CA,224
2015-04-12,FOODS_1,FOODS,CA_1,CA,302
2015-04-13,FOODS_1,FOODS,CA_1,CA,292
2015-04-14,FOODS_1,FOODS,CA_1,CA,161
2015-04-15,FOODS_1,FOODS,CA_1,CA,283
2015-04-16,FOODS_1,FOODS,CA_1,CA,218
2015-04-17,FOODS_1,FOODS,CA_1,CA,257
2015-04-18,FOODS_1,FOODS,CA_1,CA,239
2015-04-19,FOODS_1,FOODS,CA_1,CA,109
2015-04-20,FOODS_1,FOODS,CA_1,CA,254
2015-04-21,FOODS_1,FOODS,CA_1,CA,220
2015-04-22,FOODS_1,FOODS,CA_1,CA,206
2015-04-23,FOODS_1,FOODS,CA_1,CA,181
2015-04-24,FOODS_1,FOODS,CA_1,CA,209
2015-04-25,FOODS_1,FOODS,CA_1,CA,117
2015-04-26,FOODS_1,FOODS,CA_1,CA,190
2015-04-27,FOODS_1,FOODS,CA_1,CA,159
2015-04-28,FOODS_1,FOODS,CA_1,CA,223
2015-04-29,FOODS_1,FOODS,CA_1,CA,396
2015-04-30,FOODS_1,FOODS,CA_1,CA,294
2015-05-01,FOODS_1,FOODS,CA_1,CA,234
2015-05-02,FOODS_1,FOODS,CA_1,CA,238
2015-05-03,FOODS_1,FOODS,CA_1,CA,204
2015-05-04,FOODS_1,FOODS,CA_1,CA,252
2015-05-05,FOODS_1,FOODS,CA_1,CA,290
2015-05-06,FOODS_1,FOODS,CA_1,CA,164
2015-05-07,FOODS_1,FOODS,CA_1,CA,393
2015-05-08,FOODS_1,FOODS,CA_1,CA,321
2015-05-09,FOODS_1,FOODS,CA_1,CA,199
2015-05-10,FOODS_1,FOODS,CA_1,CA,218
2015-05-11,FOODS_1,FOODS,CA_1,CA,228
2015-05-12,FOODS_1,FOODS,CA_1,CA,250
2015-05-13,FOODS_1,FOODS,CA_1,CA,283
2015-05-14,FOODS_1,FOODS,CA_1,CA,404
2015-05-15,FOODS_1,FOODS,CA_1,CA,296
2015-05-16,FOODS_1,FOODS,CA_1,CA,271
2015-05-17,FOODS_1,FOODS,CA_1,CA,166
