Date,State,Gender,Legal,count
2005-03-01,ACT,Female,Remanded,9.0
2005-06-01,ACT,Female,Remanded,5.0
2005-09-01,ACT,Female,Remanded,0.0
2005-12-01,ACT,Female,Remanded,6.0
2006-03-01,ACT,Female,Remanded,6.0
2006-06-01,ACT,Female,Remanded,3.0
2006-09-01,ACT,Female,Remanded,8.0
2006-12-01,ACT,Female,Remanded,7.0
2007-03-01,ACT,Female,Remanded,2.0
2007-06-01,ACT,Female,Remanded,5.0
2007-09-01,ACT,Female,Remanded,4.0
2007-12-01,ACT,Female,Remanded,6.0
2008-03-01,ACT,Female,Remanded,8.0
2008-06-01,ACT,Female,Remanded,0.0
2008-09-01,ACT,Female,Remanded,8.0
2008-12-01,ACT,Female,Remanded,10.0
2009-03-01,ACT,Female,Remanded,11.0
2009-06-01,ACT,Female,Remanded,5.0
2009-09-01,ACT,Female,Remanded,3.0
2009-12-01,ACT,Female,Remanded,6.0
2010-03-01,ACT,Female,Remanded,5.0
2010-06-01,ACT,Female,Remanded,13.0
2010-09-01,ACT,Female,Remanded,9.0
2010-12-01,ACT,Female,Remanded,7.0
2011-03-01,ACT,Female,Remanded,8.0
2011-06-01,ACT,Female,Remanded,6.0
2011-09-01,ACT,Female,Remanded,8.0
2011-12-01,ACT,Female,Remanded,3.0
2012-03-01,ACT,Female,Remanded,4.0
2012-06-01,ACT,Female,Remanded,3.0
2012-09-01,ACT,Female,Remanded,4.0
2012-12-01,ACT,Female,Remanded,4.0
2013-03-01,ACT,Female,Remanded,4.0
2013-06-01,ACT,Female,Remanded,5.0
2013-09-01,ACT,Female,Remanded,1.0
2013-12-01,ACT,Female,Remanded,5.0
2014-03-01,ACT,Female,Remanded,5.0
2014-06-01,ACT,Female,Remanded,14.0
2014-09-01,ACT,Female,Remanded,4.0
2014-12-01,ACT,Female,Remanded,0.0
2015-03-01,ACT,Female,Remanded,6.0
2015-06-01,ACT,Female,Remanded,6.0
2015-09-01,ACT,Female,Remanded,4.0
