Date,State,Gender,Legal,Count
2005-03-01,ACT,Female,Remanded,2
2005-06-01,ACT,Female,Remanded,4
2005-09-01,ACT,Female,Remanded,1
2005-12-01,ACT,Female,Remanded,4
2006-03-01,ACT,Female,Remanded,4
2006-06-01,ACT,Female,Remanded,6
2006-09-01,ACT,Female,Remanded,9
2006-12-01,ACT,Female,Remanded,6
2007-03-01,ACT,Female,Remanded,4
2007-06-01,ACT,Female,Remanded,4
2007-09-01,ACT,Female,Remanded,5
2007-12-01,ACT,Female,Remanded,5
2008-03-01,ACT,Female,Remanded,10
2008-06-01,ACT,Female,Remanded,7
2008-09-01,ACT,Female,Remanded,9
2008-12-01,ACT,Female,Remanded,9
2009-03-01,ACT,Female,Remanded,10
2009-06-01,ACT,Female,Remanded,7
2009-09-01,ACT,Female,Remanded,3
2009-12-01,ACT,Female,Remanded,7
2010-03-01,ACT,Female,Remanded,7
2010-06-01,ACT,Female,Remanded,11
2010-09-01,ACT,Female,Remanded,9
2010-12-01,ACT,Female,Remanded,7
2011-03-01,ACT,Female,Remanded,8
2011-06-01,ACT,Female,Remanded,5
2011-09-01,ACT,Female,Remanded,7
2011-12-01,ACT,Female,Remanded,4
2012-03-01,ACT,Female,Remanded,4
2012-06-01,ACT,Female,Remanded,3
2012-09-01,ACT,Female,Remanded,3
2012-12-01,ACT,Female,Remanded,4
2013-03-01,ACT,Female,Remanded,4
2013-06-01,ACT,Female,Remanded,5
2013-09-01,ACT,Female,Remanded,4
2013-12-01,ACT,Female,Remanded,6
2014-03-01,ACT,Female,Remanded,5
2014-06-01,ACT,Female,Remanded,5
2014-09-01,ACT,Female,Remanded,5
2014-12-01,ACT,Female,Remanded,5
2015-03-01,ACT,Female,Remanded,7
2015-06-01,ACT,Female,Remanded,8
2015-09-01,ACT,Female,Remanded,6
2015-12-01,ACT,Female,Remanded,11
2016-03-01,ACT,Female,Remanded,13
2016-06-01,ACT,Female,Remanded,11
2016-09-01,ACT,Female,Remanded,11
2016-12-01,ACT,Female,Remanded,12
2005-03-01,ACT,Female,Sentenced,5
2005-06-01,ACT,Female,Sentenced,6
2005-09-01,ACT,Female,Sentenced,5
2005-12-01,ACT,Female,Sentenced,8
2006-03-01,ACT,Female,Sentenced,9
2006-06-01,ACT,Female,Sentenced,9
2006-09-01,ACT,Female,Sentenced,4
2006-12-01,ACT,Female,Sentenced,6
2007-03-01,ACT,Female,Sentenced,5
2007-06-01,ACT,Female,Sentenced,4
2007-09-01,ACT,Female,Sentenced,6
2007-12-01,ACT,Female,Sentenced,7
2008-03-01,ACT,Female,Sentenced,9
2008-06-01,ACT,Female,Sentenced,8
2008-09-01,ACT,Female,Sentenced,3
2008-12-01,ACT,Female,Sentenced,5
2009-03-01,ACT,Female,Sentenced,3
2009-06-01,ACT,Female,Sentenced,11
2009-09-01,ACT,Female,Sentenced,11
2009-12-01,ACT,Female,Sentenced,6
2010-03-01,ACT,Female,Sentenced,6
2010-06-01,ACT,Female,Sentenced,8
2010-09-01,ACT,Female,Sentenced,5
2010-12-01,ACT,Female,Sentenced,5
2011-03-01,ACT,Female,Sentenced,7
2011-06-01,ACT,Female,Sentenced,9
2011-09-01,ACT,Female,Sentenced,6
2011-12-01,ACT,Female,Sentenced,3
2012-03-01,ACT,Female,Sentenced,6
2012-06-01,ACT,Female,Sentenced,8
2012-09-01,ACT,Female,Sentenced,11
2012-12-01,ACT,Female,Sentenced,11
2013-03-01,ACT,Female,Sentenced,8
2013-06-01,ACT,Female,Sentenced,7
2013-09-01,ACT,Female,Sentenced,10
2013-12-01,ACT,Female,Sentenced,11
2014-03-01,ACT,Female,Sentenced,9
2014-06-01,ACT,Female,Sentenced,15
2014-09-01,ACT,Female,Sentenced,13
2014-12-01,ACT,Female,Sentenced,11
2015-03-01,ACT,Female,Sentenced,14
2015-06-01,ACT,Female,Sentenced,12
2015-09-01,ACT,Female,Sentenced,11
2015-12-01,ACT,Female,Sentenced,8
2016-03-01,ACT,Female,Sentenced,13
2016-06-01,ACT,Female,Sentenced,16
2016-09-01,ACT,Female,Sentenced,17
2016-12-01,ACT,Female,Sentenced,14
2005-03-01,ACT,Male,Remanded,65
2005-06-01,ACT,Male,Remanded,66
2005-09-01,ACT,Male,Remanded,63
2005-12-01,ACT,Male,Remanded,63
2006-03-01,ACT,Male,Remanded,60
2006-06-01,ACT,Male,Remanded,65
2006-09-01,ACT,Male,Remanded,52
2006-12-01,ACT,Male,Remanded,58
2007-03-01,ACT,Male,Remanded,59
2007-06-01,ACT,Male,Remanded,59
2007-09-01,ACT,Male,Remanded,62
2007-12-01,ACT,Male,Remanded,68
2008-03-01,ACT,Male,Remanded,73
2008-06-01,ACT,Male,Remanded,79
2008-09-01,ACT,Male,Remanded,83
2008-12-01,ACT,Male,Remanded,98
2009-03-01,ACT,Male,Remanded,102
2009-06-01,ACT,Male,Remanded,64
2009-09-01,ACT,Male,Remanded,56
2009-12-01,ACT,Male,Remanded,66
2010-03-01,ACT,Male,Remanded,80
2010-06-01,ACT,Male,Remanded,81
2010-09-01,ACT,Male,Remanded,71
2010-12-01,ACT,Male,Remanded,73
2011-03-01,ACT,Male,Remanded,85
2011-06-01,ACT,Male,Remanded,87
2011-09-01,ACT,Male,Remanded,70
2011-12-01,ACT,Male,Remanded,74
2012-03-01,ACT,Male,Remanded,94
2012-06-01,ACT,Male,Remanded,92
2012-09-01,ACT,Male,Remanded,91
2012-12-01,ACT,Male,Remanded,86
2013-03-01,ACT,Male,Remanded,77
2013-06-01,ACT,Male,Remanded,75
2013-09-01,ACT,Male,Remanded,89
2013-12-01,ACT,Male,Remanded,75
2014-03-01,ACT,Male,Remanded,77
2014-06-01,ACT,Male,Remanded,92
2014-09-01,ACT,Male,Remanded,82
2014-12-01,ACT,Male,Remanded,88
2015-03-01,ACT,Male,Remanded,92
2015-06-01,ACT,Male,Remanded,113
2015-09-01,ACT,Male,Remanded,109
2015-12-01,ACT,Male,Remanded,116
2016-03-01,ACT,Male,Remanded,117
2016-06-01,ACT,Male,Remanded,127
2016-09-01,ACT,Male,Remanded,133
2016-12-01,ACT,Male,Remanded,143
2005-03-01,ACT,Male,Sentenced,106
2005-06-01,ACT,Male,Sentenced,107
2005-09-01,ACT,Male,Sentenced,118
2005-12-01,ACT,Male,Sentenced,129
2006-03-01,ACT,Male,Sentenced,117
2006-06-01,ACT,Male,Sentenced,110
2006-09-01,ACT,Male,Sentenced,100
2006-12-01,ACT,Male,Sentenced,109
2007-03-01,ACT,Male,Sentenced,104
2007-06-01,ACT,Male,Sentenced,93
2007-09-01,ACT,Male,Sentenced,93
2007-12-01,ACT,Male,Sentenced,95
2008-03-01,ACT,Male,Sentenced,94
2008-06-01,ACT,Male,Sentenced,84
2008-09-01,ACT,Male,Sentenced,65
2008-12-01,ACT,Male,Sentenced,61
2009-03-01,ACT,Male,Sentenced,45
