Date,State,Zone,Region,Purpose,Count
1998-01-01,A,AA,AAA,Hol,2015.444457
1998-02-01,A,AA,AAA,Hol,514.3375998
1998-03-01,A,AA,AAA,Hol,532.0974702
1998-04-01,A,AA,AAA,Hol,534.0590831999999
1998-05-01,A,AA,AAA,Hol,505.22227189999995
1998-06-01,A,AA,AAA,Hol,412.7977166
1998-07-01,A,AA,AAA,Hol,528.7362028
1998-08-01,A,AA,AAA,Hol,539.6189162000001
1998-09-01,A,AA,AAA,Hol,512.5583723999999
1998-10-01,A,AA,AAA,Hol,476.23409119999997
1998-11-01,A,AA,AAA,Hol,676.2238067000001
1998-12-01,A,AA,AAA,Hol,355.7710892
1999-01-01,A,AA,AAA,Hol,1357.7533310000001
1999-02-01,A,AA,AAA,Hol,312.24043989999996
1999-03-01,A,AA,AAA,Hol,269.25984980000004
1999-04-01,A,AA,AAA,Hol,503.18309810000005
1999-05-01,A,AA,AAA,Hol,563.5175753
1999-06-01,A,AA,AAA,Hol,285.74343389999996
1999-07-01,A,AA,AAA,Hol,642.4568038
1999-08-01,A,AA,AAA,Hol,393.0213994
1999-09-01,A,AA,AAA,Hol,506.1579191000001
1999-10-01,A,AA,AAA,Hol,675.9437178999999
1999-11-01,A,AA,AAA,Hol,407.44291289999995
1999-12-01,A,AA,AAA,Hol,495.15295080000004
2000-01-01,A,AA,AAA,Hol,1459.005973
2000-02-01,A,AA,AAA,Hol,421.1905183
2000-03-01,A,AA,AAA,Hol,746.6276349
2000-04-01,A,AA,AAA,Hol,455.80760210000005
2000-05-01,A,AA,AAA,Hol,438.49187029999996
2000-06-01,A,AA,AAA,Hol,371.0810078
2000-07-01,A,AA,AAA,Hol,511.6409866
2000-08-01,A,AA,AAA,Hol,512.3971207
2000-09-01,A,AA,AAA,Hol,1327.945226
2000-10-01,A,AA,AAA,Hol,1836.717278
2000-11-01,A,AA,AAA,Hol,606.4617396000001
2000-12-01,A,AA,AAA,Hol,430.0671352
2001-01-01,A,AA,AAA,Hol,1229.5745539999998
2001-02-01,A,AA,AAA,Hol,381.90901030000003
2001-03-01,A,AA,AAA,Hol,281.80267189999995
2001-04-01,A,AA,AAA,Hol,938.6365079
2001-05-01,A,AA,AAA,Hol,309.53969930000005
2001-06-01,A,AA,AAA,Hol,462.9470461
2001-07-01,A,AA,AAA,Hol,442.5739839
2001-08-01,A,AA,AAA,Hol,270.3542228
2001-09-01,A,AA,AAA,Hol,518.9146611000001
2001-10-01,A,AA,AAA,Hol,648.3663166
2001-11-01,A,AA,AAA,Hol,379.760075
2001-12-01,A,AA,AAA,Hol,489.2132549
2002-01-01,A,AA,AAA,Hol,695.3456115
2002-02-01,A,AA,AAA,Hol,368.04539900000003
2002-03-01,A,AA,AAA,Hol,528.3578755
2002-04-01,A,AA,AAA,Hol,474.4448619
2002-05-01,A,AA,AAA,Hol,346.15659980000004
