Date,state,zone,region,purpose,Count
1998-01-01,A,AA,AAA,Hol,2142
1998-02-01,A,AA,AAA,Hol,609
1998-03-01,A,AA,AAA,Hol,388
1998-04-01,A,AA,AAA,Hol,425
1998-05-01,A,AA,AAA,Hol,520
1998-06-01,A,AA,AAA,Hol,401
1998-07-01,A,AA,AAA,Hol,340
1998-08-01,A,AA,AAA,Hol,608
1998-09-01,A,AA,AAA,Hol,245
1998-10-01,A,AA,AAA,Hol,478
1998-11-01,A,AA,AAA,Hol,569
1998-12-01,A,AA,AAA,Hol,353
1999-01-01,A,AA,AAA,Hol,1403
1999-02-01,A,AA,AAA,Hol,499
1999-03-01,A,AA,AAA,Hol,246
1999-04-01,A,AA,AAA,Hol,454
1999-05-01,A,AA,AAA,Hol,633
1999-06-01,A,AA,AAA,Hol,401
1999-07-01,A,AA,AAA,Hol,698
1999-08-01,A,AA,AAA,Hol,268
1999-09-01,A,AA,AAA,Hol,547
1999-10-01,A,AA,AAA,Hol,728
1999-11-01,A,AA,AAA,Hol,389
1999-12-01,A,AA,AAA,Hol,216
2000-01-01,A,AA,AAA,Hol,1531
2000-02-01,A,AA,AAA,Hol,408
2000-03-01,A,AA,AAA,Hol,795
2000-04-01,A,AA,AAA,Hol,462
2000-05-01,A,AA,AAA,Hol,305
2000-06-01,A,AA,AAA,Hol,475
2000-07-01,A,AA,AAA,Hol,445
2000-08-01,A,AA,AAA,Hol,567
2000-09-01,A,AA,AAA,Hol,1263
2000-10-01,A,AA,AAA,Hol,1905
2000-11-01,A,AA,AAA,Hol,658
2000-12-01,A,AA,AAA,Hol,335
2001-01-01,A,AA,AAA,Hol,1271
2001-02-01,A,AA,AAA,Hol,547
2001-03-01,A,AA,AAA,Hol,427
2001-04-01,A,AA,AAA,Hol,854
2001-05-01,A,AA,AAA,Hol,99
2001-06-01,A,AA,AAA,Hol,512
2001-07-01,A,AA,AAA,Hol,350
2001-08-01,A,AA,AAA,Hol,276
2001-09-01,A,AA,AAA,Hol,639
2001-10-01,A,AA,AAA,Hol,728
2001-11-01,A,AA,AAA,Hol,443
2001-12-01,A,AA,AAA,Hol,449
2002-01-01,A,AA,AAA,Hol,475
2002-02-01,A,AA,AAA,Hol,405
2002-03-01,A,AA,AAA,Hol,655
2002-04-01,A,AA,AAA,Hol,291
2002-05-01,A,AA,AAA,Hol,206
2002-06-01,A,AA,AAA,Hol,394
2002-07-01,A,AA,AAA,Hol,396
2002-08-01,A,AA,AAA,Hol,389
2002-09-01,A,AA,AAA,Hol,530
2002-10-01,A,AA,AAA,Hol,323
2002-11-01,A,AA,AAA,Hol,346
2002-12-01,A,AA,AAA,Hol,427
2003-01-01,A,AA,AAA,Hol,805
2003-02-01,A,AA,AAA,Hol,114
2003-03-01,A,AA,AAA,Hol,313
2003-04-01,A,AA,AAA,Hol,430
2003-05-01,A,AA,AAA,Hol,560
2003-06-01,A,AA,AAA,Hol,485
2003-07-01,A,AA,AAA,Hol,492
2003-08-01,A,AA,AAA,Hol,295
